acc,acc_last_visited
adm,adm_update_skill_status
adm,adm_update_skill_tables
administration,adm_external_setting_prefix
administration,adm_objects
administration,adm_repository_cache_time
administration,adm_repository_cache_time_info
administration,adm_repository_cache_time_info2
administration,adm_services
administration,adm_synchronize_rep_tree
administration,adm_synchronize_rep_tree_info
administration,adm_users
administration,analyzing
administration,check_tree
administration,check_tree_desc
administration,confirm_message_course_export
administration,feedback_recipient_info
administration,forum_settings
administration,language_administration
administration,language_delete_local_changes
administration,language_error_write_local
administration,language_note_save_local
administration,language_saved_local
administration,language_scope_translate
administration,language_translation_disabled
administration,language_translation_mode
administration,passwd_auto_generate
administration,scan_completed
administration,stop_scan
assessment,0_unlimited
assessment,add_answer
assessment,add_answer_tf
assessment,add_answer_yn
assessment,add_applet_parameter
assessment,add_area
assessment,add_gap
assessment,add_matching_pair
assessment,add_new_question
assessment,add_questionpool
assessment,add_solution
assessment,adm_categories
assessment,all_units
assessment,answer_picture
assessment,applet_new_parameter
assessment,ass_create_archive_export
assessment,ass_export_files
assessment,ass_file
assessment,ass_lac_answer_index_not_exist
assessment,ass_lac_answer_index_not_exist_cur_qst
assessment,ass_lac_answer_value_not_exists
assessment,ass_lac_answer_value_not_exists_cur_qst
assessment,ass_lac_answer_value_not_exists_cur_qst_one_answer
assessment,ass_lac_answer_value_not_exists_one_answer
assessment,ass_lac_duplicate_element
assessment,ass_lac_expression_not_supported
assessment,ass_lac_expression_not_supported_by_cur_question
assessment,ass_lac_expression_not_supported_by_question
assessment,ass_lac_invalid_statement
assessment,ass_lac_missing_bracket
assessment,ass_lac_operator_not_supported
assessment,ass_lac_operator_not_supported_by_expression
assessment,ass_lac_question_not_exist
assessment,ass_lac_question_not_reachable
assessment,ass_size
assessment,assessment_eval_settings
assessment,available_points
assessment,available_terms
assessment,cannot_export_qpl
assessment,cannot_export_test
assessment,cannot_maintain_test
survey,cannot_read_questionpool
survey,cannot_save_metaobject
assessment,change_adm_units_not_allowed
assessment,change_solution
assessment,changelog_description
assessment,changelog_heading
assessment,cloze_textgap_rating
assessment,correct_solution_is
assessment,create_imagemap
assessment,custom_categories
assessment,customstyle_description
assessment,delete_area
assessment,delete_image
assessment,detailed_output
assessment,disable_javascript
assessment,ects_fill_out_all_values
assessment,ects_grade_b
assessment,ects_grade_c
assessment,ects_grade_d
assessment,ects_grade_e
assessment,ects_grade_f_short
assessment,ects_grade_fx_short
assessment,ects_range_error_a
assessment,ects_range_error_b
assessment,ects_range_error_c
assessment,ects_range_error_d
assessment,ects_range_error_e
assessment,empty_term_message
assessment,empty_terms_exist
assessment,enable_javascript
assessment,ending_time_reached
assessment,err_duplicate_variables
assessment,err_no_max_range
assessment,err_no_max_range_number
assessment,err_no_min_range
assessment,err_no_min_range_number
assessment,err_no_precision
assessment,err_no_unitname
assessment,err_tolerance_wrong_value
assessment,err_wrong_points
assessment,err_wrong_precision
assessment,err_wrong_unitfactor
assessment,error_cloze_not_numeric
assessment,error_duplicate_term
assessment,error_image_upload_copy_file
assessment,error_image_upload_wrong_format
survey,error_importing_question
assessment,error_no_lower_limit
assessment,error_no_upper_limit
assessment,error_open_java_file
assessment,error_save_image_file
assessment,esusay_scoring_mode_keyword_relation_any_desc
assessment,eval_choice_result
assessment,eval_cloze_result
assessment,eval_concatenation
assessment,eval_data
assessment,eval_found_selected_groups
assessment,eval_found_selected_users
assessment,eval_imagemap_result
assessment,eval_java_result
survey,eval_legend_link
assessment,eval_matching_result
assessment,eval_order_result
assessment,eval_search_groups
assessment,eval_search_roles
assessment,eval_search_term
assessment,eval_search_users
assessment,eval_search_userselection
assessment,eval_selected_users
assessment,externalscript_additional_parameters
assessment,externalscript_additional_parameters_hint
assessment,externalscript_use_kvc
assessment,fill_out_all_answer_fields
assessment,fill_out_all_matching_pairs
assessment,fill_out_all_required_fields_add_matching
assessment,fill_out_all_required_fields_create_gaps
assessment,fill_out_all_required_fields_upload_image
assessment,fill_out_all_required_fields_upload_imagemap
assessment,fill_out_all_required_fields_upload_material
survey,filter_show_question_types
survey,filter_show_questionpools
assessment,filter_users
assessment,forcejs_desc
assessment,forcejs_short
assessment,gap_definition
assessment,gap_selection
assessment,graphical_answers
assessment,graphical_answers_hide
assessment,graphical_answers_show
assessment,imagemap_file
assessment,imagemap_source
assessment,import_errors_qti
assessment,internal_links_update
assessment,intro_desc
assessment,keywords_hint
assessment,log_random_question_pool_added
assessment,log_random_question_pool_deleted
assessment,log_total_amount_of_questions
assessment,log_user_data_removed
assessment,manscoring_pending
assessment,manscoring_select_user
assessment,match_terms_and_definitions
assessment,match_terms_and_pictures
assessment,matching_pair
assessment,matching_question_javascript_hint
assessment,matching_shuffle_pictures
assessment,matching_shuffle_terms_pictures
assessment,material_download
survey,material_file
assessment,meaning
assessment,msg_question_count_too_low
assessment,msg_total_questions_too_high
assessment,multiline_answers_hide
assessment,multiline_answers_show
assessment,multiline_terms_hide
assessment,multiline_terms_show
assessment,negative_points_not_allowed
assessment,new_test_created
survey,next_question_rows
assessment,no_archive_on_anonymous
assessment,no_terms_message
survey,no_user_or_group_selected
assessment,online_exam_show_answer_print_sheet
assessment,online_exam_show_finish_test
assessment,optional_keywords
assessment,ordering_question_javascript_hint
assessment,participants_data
assessment,participants_evaluation
assessment,participants_invitation_search_introduction
assessment,percentage_solved
assessment,postpone_status
survey,previous_question_rows
assessment,print_answers
assessment,qpl_answertext_fields_not_filled
assessment,qpl_assessment_of_questions
assessment,qpl_delete_describe_undeleteable_questions
assessment,qpl_delete_no_deleteable_questions
survey,qpl_delete_rbac_error
assessment,qpl_display_fullsize_image
assessment,qpl_edit_rbac_error
assessment,qpl_edit_select_multiple
assessment,qpl_edit_select_none
assessment,qpl_general_properties
assessment,qpl_lac_desc_res_of_answ_m_of_quest_n
assessment,qpl_lac_desc_res_of_quest_n
assessment,qpl_qst_formulaquestion_00_no_category
assessment,qpl_select_file_for_import
assessment,qst_hint_self
assessment,qt_multiple_choice
survey,question_saved_for_upload
assessment,question_short
assessment,radio_set
assessment,radio_unset
assessment,redirect_none
assessment,report_date_not_reached
assessment,resize_images
assessment,result_successful_saved
assessment,result_unsuccessful_saved
assessment,save_before_upload_imagemap
assessment,save_before_upload_javaapplet
assessment,save_edit
assessment,save_text_answer_points
assessment,search_found_groups
assessment,search_found_users
assessment,see_details_for_further_information
assessment,select_an_answer
assessment,select_one_submitted_test
assessment,select_qpl_option
assessment,select_tst_option
assessment,selected_image
assessment,selected_unit
common,set_edit_mode
survey,set_filter
assessment,solution_may_contain_keywords
assessment,solution_order
assessment,starting_time_not_reached
assessment,step_dim_max
assessment,step_dim_min
assessment,symbol
assessment,test_cancelled
assessment,test_enable_archiving_desc
assessment,test_enable_view_both
assessment,test_enable_view_express
assessment,test_enable_view_table
assessment,test_enable_views
assessment,test_reference
assessment,text_answers_saved
assessment,too_many_empty_parameters
assessment,tst_allow_instant_verification
assessment,tst_already_taken
assessment,tst_answer_sheet
assessment,tst_availability_limitless_info
assessment,tst_availability_until_info
assessment,tst_back_dyn_test_with_cur_quest_sel
assessment,tst_beginning_ending_information
assessment,tst_confirm_delete_results
assessment,tst_confirm_delete_results_info
assessment,tst_confirm_print
assessment,tst_defaults_dont_use
assessment,tst_delete_all_user_data
assessment,tst_delete_results
assessment,tst_eval_no_anonymous_aggregation
assessment,tst_eval_user_answer
assessment,tst_express_allow_question_pool
assessment,tst_express_allow_question_pool_description
assessment,tst_extratime_nodata
assessment,tst_fixed_participants_data_exists
assessment,tst_fixed_participants_disable
assessment,tst_fixed_participants_disable_description
assessment,tst_fixed_participating_users
assessment,tst_generate_xls
assessment,tst_hide_previous_results
assessment,tst_hide_previous_results_description
assessment,tst_hide_previous_results_hide
assessment,tst_hide_previous_results_introduction
assessment,tst_in_use_edit_questions_disabled
assessment,tst_input_dyn_quest_set_prev_quest_list_enabled
assessment,tst_instant_feedback_fix_usr_answer
assessment,tst_instant_feedback_fix_usr_answer_desc
assessment,tst_instant_feedback_forced_desc
assessment,tst_instant_verification
assessment,tst_invited_selected_groups
assessment,tst_invited_selected_roles
assessment,tst_list_of_questions_yes
assessment,tst_manscoring_input_best_solution
assessment,tst_missing_author
assessment,tst_missing_marks
assessment,tst_missing_questions
assessment,tst_missing_title
assessment,tst_must_be_online_exam
assessment,tst_no_export_randomtest
assessment,tst_no_more_available_questionpools
assessment,tst_no_questionpools_for_random_test
assessment,tst_no_questions_available
assessment,tst_no_questions_for_random_test
assessment,tst_no_solution_available
assessment,tst_no_taken_tests
assessment,tst_non_avail_pool_msg_status_trashed
assessment,tst_num_marked_questions
assessment,tst_num_postponed_questions
assessment,tst_participant_solution
assessment,tst_participants_no
assessment,tst_participants_no_fixed
assessment,tst_print_date
assessment,tst_properties
assessment,tst_qst_resetsolved
assessment,tst_qst_result_sheet
assessment,tst_qst_setsolved
assessment,tst_qst_summary_text
assessment,tst_question_selection
assessment,tst_question_selection_description
assessment,tst_question_selection_equal
assessment,tst_question_unmark
assessment,tst_random_qpl_unselected
assessment,tst_random_questionpools
assessment,tst_random_selection_question_count_too_high
